film_id,title,release_year,release_season,genre,mpaa_rating,studio,is_franchise,sequel_number,production_budget,marketing_budget,total_cost,domestic_gross,international_gross,total_gross,streaming_revenue,ancillary_revenue,total_revenue,director_avg_roi,lead_actor_avg_gross,trailer_views_24hr,social_buzz_score,pre_release_tracking,rotten_tomatoes_score,roi
1001,Film_0001,2004,Summer,Thriller,G,Paramount,0,0,14752356,11077482,25829839,29132538,33784084,62916622,16380794,9402356,88699772,2.42,201907846,2626861,22.5,46.9,78.5,2.434
1002,Film_0002,2010,Fall,Sci-Fi,G,Sony,0,0,185619659,139382675,325002334,85492547,148625477,234118024,84624796,25881309,344624128,3.87,347588934,4279337,38.4,63.7,66.1,0.0604
1003,Film_0003,2001,Fall,Drama,PG-13,Lionsgate,0,0,15918525,8471253,24389778,13732855,11081311,24814166,6977921,2004703,33796791,0.9,60054009,2551723,44.2,76.9,98.0,0.3857
1004,Film_0004,2023,Holiday,Thriller,PG,A24,0,0,64193108,34417927,98611035,122857965,106999076,229857041,95831582,30744088,356432711,2.22,230452907,23566405,51.1,41.3,40.6,2.6145
1005,Film_0005,2014,Spring,Horror,PG,Disney,0,0,38992421,31022812,70015233,75715819,90080071,165795890,53331055,18477716,237604662,1.09,214932153,18326155,38.9,65.5,15.5,2.3936
1006,Film_0006,2005,Spring,Romance,G,Warner Bros,0,0,1781028,1158506,2939534,1627736,1003036,2630772,1138015,284438,4053226,0.68,126929333,29608342,35.9,76.4,75.4,0.3789
1007,Film_0007,2007,Spring,Drama,R,Warner Bros,0,0,29750029,18222684,47972713,39338373,22820271,62158645,22572143,4684496,89415284,2.66,332446683,5189133,94.5,58.9,56.4,0.8639
1008,Film_0008,2004,Fall,Drama,PG,Disney,0,0,30975392,22774994,53750386,20011720,10127818,30139538,8636017,3786533,42562088,1.23,306082489,4678465,91.6,31.8,29.0,-0.2082
1009,Film_0009,2015,Fall,Thriller,R,A24,0,0,72587408,37318358,109905766,75639478,46056878,121696356,33821824,7078679,162596858,2.56,298486491,26062280,23.7,59.2,79.6,0.4794
1010,Film_0010,2017,Fall,Comedy,PG,Lionsgate,1,1,77133269,44095010,121228279,54372589,35075272,89447861,32674811,12739943,134862615,0.89,352953142,6208297,46.4,49.3,28.1,0.1125
